sclht,dense,abund,chi
0.9,650000000000.0,13.0,0.4302831843089038
0.9,1050000000000.0,1.0,0.0996704971866673
0.9,1050000000000.0,3.0,0.1510239677619456
0.9,1050000000000.0,5.0,0.2318426508735335
0.9,1050000000000.0,7.0,0.3207094445448382
0.9,1050000000000.0,9.0,0.4117258436409294
0.9,1050000000000.0,11.0,0.5025817238680786
0.9,1050000000000.0,13.0,0.5922123759458722
0.9,1700000000000.0,1.0,0.1209690882385879
0.9,1700000000000.0,3.0,0.2278822356570446
0.9,1700000000000.0,5.0,0.3476614608450311
0.9,1700000000000.0,7.0,0.4660826589230026
0.9,1700000000000.0,9.0,0.5803850361328476
0.9,1700000000000.0,11.0,0.6899851677143195
0.9,1700000000000.0,13.0,0.7948974272248753
0.9,2750000000000.0,1.0,0.1760384282170665
0.9,2750000000000.0,3.0,0.345848221006716
0.9,2750000000000.0,5.0,0.5067862629457303
0.9,2750000000000.0,7.0,0.6549192842611631
0.9,2750000000000.0,9.0,0.7916630110580802
0.9,2750000000000.0,11.0,0.9186332371704304
0.9,2750000000000.0,13.0,1.0371706637575735
