Title: The Transit Light Curve Project. V. System Parameters and Stellar 
       Rotation Period of HD 189733  
Authors: Winn J.N., Holman M.J., Henry G.W., Roussanova A., Enya K., Yoshii Y.,
         Shporer A., Mazeh T., Johnson .A., Narita N., Suto Y. 
Table: Photometry of HD 189733
================================================================================
Byte-by-byte Description of file: datafile2.txt
--------------------------------------------------------------------------------
   Bytes Format Units   Label   Explanations
--------------------------------------------------------------------------------
   1- 12 A12    ---     Tele    Telescope 
  14- 20 A7     ---     Filter  Filter 
  22- 34 F13.5  d       HJD     Heliocentric Julian Date of mid-exposure
  36- 41 F6.4   ---     RFlux   Relative flux 
  43- 48 F6.4   ---   e_RFlux   Uncertainty in RFlux
--------------------------------------------------------------------------------
FLWO 1.2m    z       2453937.75533 0.9787 0.0024 
FLWO 1.2m    z       2453937.75549 0.9762 0.0024 
FLWO 1.2m    z       2453937.75567 0.9784 0.0024 
FLWO 1.2m    z       2453937.75584 0.9729 0.0024 
FLWO 1.2m    z       2453937.75602 0.9785 0.0024 
FLWO 1.2m    z       2453937.75618 0.9797 0.0024 
FLWO 1.2m    z       2453937.75636 0.9747 0.0024 
FLWO 1.2m    z       2453937.76417 0.9740 0.0023 
FLWO 1.2m    z       2453937.76434 0.9781 0.0023 
FLWO 1.2m    z       2453937.76450 0.9746 0.0023 
FLWO 1.2m    z       2453937.76467 0.9762 0.0023 
FLWO 1.2m    z       2453937.76484 0.9743 0.0023 
FLWO 1.2m    z       2453937.76500 0.9735 0.0023 
FLWO 1.2m    z       2453937.76517 0.9762 0.0023 
FLWO 1.2m    z       2453937.76533 0.9754 0.0023 
FLWO 1.2m    z       2453937.76562 0.9723 0.0023 
FLWO 1.2m    z       2453937.76578 0.9715 0.0023 
FLWO 1.2m    z       2453937.76594 0.9757 0.0023 
FLWO 1.2m    z       2453937.76610 0.9744 0.0023 
FLWO 1.2m    z       2453937.76628 0.9788 0.0023 
FLWO 1.2m    z       2453937.76644 0.9761 0.0023 
FLWO 1.2m    z       2453937.76660 0.9763 0.0023 
FLWO 1.2m    z       2453937.76678 0.9758 0.0023 
FLWO 1.2m    z       2453937.76695 0.9756 0.0023 
FLWO 1.2m    z       2453937.76712 0.9736 0.0023 
FLWO 1.2m    z       2453937.76728 0.9749 0.0023 
FLWO 1.2m    z       2453937.76747 0.9757 0.0023 
FLWO 1.2m    z       2453937.76764 0.9779 0.0023 
FLWO 1.2m    z       2453937.76782 0.9741 0.0023 
FLWO 1.2m    z       2453937.76798 0.9732 0.0023 
FLWO 1.2m    z       2453937.76814 0.9770 0.0023 
FLWO 1.2m    z       2453937.76831 0.9742 0.0023 
FLWO 1.2m    z       2453937.76847 0.9785 0.0023 
FLWO 1.2m    z       2453937.76864 0.9730 0.0023 
FLWO 1.2m    z       2453937.76880 0.9733 0.0023 
FLWO 1.2m    z       2453937.76896 0.9753 0.0023 
FLWO 1.2m    z       2453937.76914 0.9716 0.0023 
FLWO 1.2m    z       2453937.76931 0.9745 0.0023 
FLWO 1.2m    z       2453937.76947 0.9744 0.0023 
FLWO 1.2m    z       2453937.76964 0.9726 0.0023 
FLWO 1.2m    z       2453937.76981 0.9707 0.0023 
FLWO 1.2m    z       2453937.76997 0.9746 0.0023 
FLWO 1.2m    z       2453937.77013 0.9755 0.0023 
FLWO 1.2m    z       2453937.77029 0.9769 0.0023 
FLWO 1.2m    z       2453937.77045 0.9724 0.0023 
